ent idx,ent name
0,4250
1,12843
2,20288
3,37253
4,39854
5,40700
6,42812
7,52972
8,56764
9,58166
10,65469
11,78727
12,84229
13,94940
14,111468
15,114263
16,116537
17,120639
18,122290
19,125502
20,154618
21,155940
22,180365
23,182566
24,188897
25,195839
26,202113
27,205068
28,212702
29,224236
30,235608
31,256373
32,259533
33,288623
34,290404
35,293773
36,294558
37,299460
38,311688
39,320580
40,322993
41,337025
42,343090
43,379707
44,388246
45,423512
46,427163
47,432320
48,438757
49,443022
50,452148
51,455962
52,459310
53,472806
54,482391
55,486523
56,487182
57,487381
58,489000
59,489367
60,527307
61,527607
62,548009
63,557185
64,560191
65,571086
66,571446
67,593368
68,607359
69,609986
70,610760
71,612350
72,612670
73,612898
74,627467
75,633612
76,649245
77,673006
78,679329
79,689293
80,710854
81,716847
82,730256
83,739882
84,745351
85,748542
86,751236
87,753383
88,756385
89,761482
90,768646
91,775475
92,777992
93,779372
94,784079
95,809718
96,811021
97,812465
98,832551
99,854659
100,855514
101,871022
102,883265
103,888380
104,889416
105,897990
106,915527
107,917703
108,927094
109,930959
110,935647
111,942694
112,943373
113,946207
114,956191
115,964641
116,971699
117,985788
118,986699
119,989437
120,994952
121,1007738
122,1012414
123,1014953
124,1022313
125,1026927
126,1033296
127,1034443
128,1039755
129,1040795
130,1062220
131,1066113
132,1082259
133,1109138
134,1115519
135,1121360
136,1135709
137,1160358
138,1164432
139,1174398
140,1195622
141,1219285
142,1223959
143,1232282
144,1235157
145,1276947
146,1284475
147,1284942
148,1291036
149,1297061
150,1298146
151,1305866
152,1306188
153,1318750
154,1325038
155,1329718
156,1337776
157,1342733
158,1363856
159,1366977
160,1370556
161,1370844
162,1374934
163,1382245
164,1382479
165,1388644
166,1404243
167,1405844
168,1423725
169,1432209
170,1432948
171,1440607
172,1447538
173,1449246
174,1465435
175,1466807
176,1485949
177,1486788
178,1489048
179,1511901
180,1517167
181,1528203
182,1549246
183,1570309
184,1576492
185,1602530
186,1606270
187,1620739
188,1621761
189,1627819
190,1629781
191,1631582
192,1633027
193,1665295
194,1667742
195,1668388
196,1675596
197,1678238
198,1680195
199,1694676
200,1700975
201,1705053
202,1707232
203,1715860
204,1721004
205,1759631
206,1769372
207,1781132
208,1787132
209,1812915
210,1816345
211,1842014
212,1855228
213,1862650
214,1870714
215,1883856
216,1895703
217,1898230
218,1910972
219,1921717
220,1924353
221,1934278
222,1961218
223,1965285
224,1970863
225,1972800
226,1975866
227,1987888
228,2011187
229,2027888
230,2039551
231,2066434
232,2084832
233,2096984
234,2113261
235,2119116
236,2122615
237,2126413
238,2129575
239,2142544
240,2164484
241,2168841
242,2182769
243,2185349
244,2187777
245,2214281
246,2221639
247,2225953
248,2235679
249,2262138
250,2265751
251,2274522
252,2278759
253,2292967
254,2312646
255,2333172
256,2341566
257,2353230
258,2361726
259,2385561
260,2400350
261,2400798
262,2412688
263,2426938
264,2434490
265,2456702
266,2482559
267,2504767
268,2505209
269,2515530
270,2516683
271,2519700
272,2520015
273,2524010
274,2539976
275,2542834
276,2558915
277,2568260
278,2571954
279,2583947
280,2591305
281,2593027
282,2606647
283,2619416
284,2622285
285,2625741
286,2639959
287,2668921
288,2681867
289,2688345
290,2692088
291,2729557
292,2731191
293,2731732
294,2742236
295,2750425
296,2754237
297,2755393
298,2756471
299,2765594
300,2767350
301,2771230
302,2771771
303,2791150
304,2801541
305,2816523
306,2834757
307,2851963
308,2855170
309,2859252
310,2859760
311,2868805
312,2871975
313,2874115
314,2880193
315,2890095
316,2890278
317,2900643
318,2900893
319,2909094
320,2914606
321,2916875
322,2940105
323,2946294
324,2949179
325,2961294
326,2961886
327,2962069
328,2974864
329,2983539
330,2989005
331,3004257
332,3025077
333,3031470
334,3032042
335,3032387
336,3038340
337,3044715
338,3045981
339,3048935
340,3062749
341,3062760
342,3073032
343,3079626
344,3079947
345,3087436
346,3090818
347,3096166
348,3098717
349,3099160
350,3102742
351,3115412
352,3116115
353,3116431
354,3124580
355,3127909
356,3128022
357,3141499
358,3141732
359,3149852
360,3156200
361,3161131
362,3168419
363,3171199
364,3182054
365,3195855
366,3227080
367,3231350
368,3232509
369,3232514
370,3253136
371,3258251
372,3261483
373,3265923
374,3270621
375,3283095
376,3288061
377,3289022
378,3291275
379,3292607
380,3299117
381,3305012
382,3309286
383,3309909
384,3321955
385,3335917
386,3339587
387,3345301
388,3352285
389,3357877
390,3358924
391,3379466
392,3387666
393,3400440
394,3414118
395,3427991
396,3432839
397,3442330
398,3445786
399,3449773
400,3450827
401,3453395
402,3469331
403,3480121
404,3503070
405,3515459
406,3531765
407,3535393
408,3537527
409,3544514
410,3554709
411,3561768
412,3566410
413,3596387
414,3612245
415,3620293
416,3622217
417,3634175
418,3651065
419,3662595
420,3673715
421,3675279
422,3691731
423,3705304
424,3705319
425,3716254
426,3716999
427,3718844
428,3719324
429,3720319
430,3736036
431,3739613
432,3742359
433,3746008
434,3756478
435,3767888
436,3768446
437,3769349
438,3770464
439,3792809
440,3802195
441,3802936
442,3826847
443,3828260
444,3832189
445,3840230
446,3866505
447,3896420
448,3899301
449,3909970
450,3910719
451,3913047
452,3941253
453,3952536
454,3962253
455,3981223
456,3987366
457,4001165
458,4016117
459,4017995
460,4031554
461,4031861
462,4032939
463,4033963
464,4042151
465,4051589
466,4058229
467,4060165
468,4062443
469,4069607
470,4071166
471,4107886
472,4119822
473,4141045
474,4144372
475,4150253
476,4157488
477,4159476
478,4161247
479,4162061
480,4163816
481,4164206
482,4166729
483,4171412
484,4188701
485,4195266
486,4199805
487,4208123
488,4216890
489,4224716
490,4229060
491,4238864
492,4244182
493,4249254
494,4255713
495,4263655
496,4264781
497,4268229
498,4285052
499,4292930
500,4305246
501,4305385
502,4306028
503,4311470
504,4329242
505,4340003
506,4349628
507,4373008
508,4375535
