,ogbn-proteins,ogbn-products,ogbn-arxiv,ogbn-mag,ogbn-papers100M,ogbn-mag-QM1,ogbn-mag-QM2,ogbn-mag-QM3,ogbn-mag-QM4,ogbn-mag-QM0,ogbn-mag-QM1-BD,ogbn-mag-QM1-PQ,ogbn-mag-QM1-BPQ,ogbn-mag-QM9,ogbn-mag-QM10
num tasks,112,1,1,1,1,1,1,1,1,1,1,1,1,1,1
num classes,2,47,40,349,172,175,349,258,246,349,349,349,349,349,349
eval metric,rocauc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
task type,binary classification,multiclass classification,multiclass classification,multiclass classification,multiclass classification,multiclass classification,multiclass classification,multiclass classification,multiclass classification,multiclass classification,multiclass classification,multiclass classification,multiclass classification,multiclass classification,multiclass classification
download_name,proteins,products,arxiv,mag,papers100M-bin,mag_AtmosphericSciences_papers_venue_QM1,mag_Diffraction_papers_venue_QM2,mag_ComputerProgramming_papers_venue_QM3,mag_QuantumElectrodynamics_papers_venue_QM4,OBGN_MAG_QM0,mag_AtmosphericSciences_papers_venue_QM1_BD_Query,mag_AtmosphericSciences_papers_venue_QM1_Path_Query,mag_AtmosphericSciences_papers_venue_QM1_BPath_Query,mag,mag
version,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2
url,http://snap.stanford.edu/ogb/data/nodeproppred/proteins.zip,/media/hussein/UbuntuData/GithubRepos/ogb/Amazon_products.zip,http://snap.stanford.edu/ogb/data/nodeproppred/arxiv.zip,http://snap.stanford.edu/ogb/data/nodeproppred/mag.zip,http://snap.stanford.edu/ogb/data/nodeproppred/papers100M-bin.zip,/media/hussein/UbuntuData/GithubRepos/ogb/mag_AtmosphericSciences_papers_venue_QM1.zip,/media/hussein/UbuntuData/GithubRepos/ogb/mag_Diffraction_papers_venue_QM2.zip,/media/hussein/UbuntuData/GithubRepos/ogb/mag_ComputerProgramming_papers_venue_QM3.zip,/media/hussein/UbuntuData/GithubRepos/ogb/mag_QuantumElectrodynamics_papers_venue_QM4.zip,/media/hussein/UbuntuData/GithubRepos/ogb/OBGN_MAG_QM0.zip,/media/hussein/UbuntuData/GithubRepos/ogb_cods/mag_AtmosphericSciences_papers_venue_QM1_BD_Query.zip,/media/hussein/UbuntuData/GithubRepos/ogb_cods/mag_AtmosphericSciences_papers_venue_QM1_Path_Query.zip,/media/hussein/UbuntuData/GithubRepos/ogb_cods/mag_AtmosphericSciences_papers_venue_QM1_BPath_Query.zip,http://snap.stanford.edu/ogb/data/nodeproppred/mag.zip,http://snap.stanford.edu/ogb/data/nodeproppred/mag.zip
add_inverse_edge,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
has_node_attr,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
has_edge_attr,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
split,species,sales_ranking,time,time,time,time,time,time,time,time,time,time,time,time,time
additional node files,node_species,None,node_year,node_year,node_year,node_year,node_year,node_year,node_year,node_year,node_year,node_year,node_year,node_year,node_year
additional edge files,None,None,None,edge_reltype,None,edge_reltype,edge_reltype,edge_reltype,edge_reltype,edge_reltype,edge_reltype,edge_reltype,edge_reltype,edge_reltype,edge_reltype
is hetero,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True
binary,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
